"Step","layer_12_rank_16_sae_from_scratch_trainer_80_kl_0_k_80 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_80_kl_0_k_80 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_80_kl_0_k_80 - val_loss__MAX","layer_12_rank_16_sae_from_scratch_trainer_40_kl_0_k_40 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_40_kl_0_k_40 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_40_kl_0_k_40 - val_loss__MAX","layer_12_rank_16_sae_from_scratch_trainer_160_kl_0_k_160 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_160_kl_0_k_160 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_160_kl_0_k_160 - val_loss__MAX","layer_12_rank_16_sae_from_scratch_trainer_20_kl_0_k_20 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_20_kl_0_k_20 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_20_kl_0_k_20 - val_loss__MAX","layer_12_rank_16_sae_from_scratch_trainer_80_kl_95_k_80 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_80_kl_95_k_80 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_80_kl_95_k_80 - val_loss__MAX","layer_12_rank_16_sae_from_scratch_trainer_160_kl_95_k_160 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_160_kl_95_k_160 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_160_kl_95_k_160 - val_loss__MAX","layer_12_rank_16_sae_from_scratch_trainer_40_kl_95_k_40 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_40_kl_95_k_40 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_40_kl_95_k_40 - val_loss__MAX","layer_12_rank_16_sae_from_scratch_trainer_20_kl_95_k_20 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_20_kl_95_k_20 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_20_kl_95_k_20 - val_loss__MAX"
"299999","2.138803087029999","2.138803087029999","2.138803087029999","2.1575040913043027","2.1575040913043027","2.1575040913043027","2.1261335095522225","2.1261335095522225","2.1261335095522225","2.1955308319968356","2.1955308319968356","2.1955308319968356","2.1469300960933175","2.1469300960933175","2.1469300960933175","2.1202972934275346","2.1202972934275346","2.1202972934275346","2.186140531984786","2.186140531984786","2.186140531984786","2.3172934426255942","2.3172934426255942","2.3172934426255942"
"309999","2.139971949396504","2.139971949396504","2.139971949396504","2.159747070427927","2.159747070427927","2.159747070427927","2.127097969655493","2.127097969655493","2.127097969655493","2.1985998978817354","2.1985998978817354","2.1985998978817354","2.1458045649308874","2.1458045649308874","2.1458045649308874","2.1202769302357916","2.1202769302357916","2.1202769302357916","2.1843008798915995","2.1843008798915995","2.1843008798915995","2.309676482739688","2.309676482739688","2.309676482739688"
"319999","2.139026603288758","2.139026603288758","2.139026603288758","2.158325425373007","2.158325425373007","2.158325425373007","2.128175542993946","2.128175542993946","2.128175542993946","2.1950108501049734","2.1950108501049734","2.1950108501049734","2.147697801264184","2.147697801264184","2.147697801264184","2.1211095434311344","2.1211095434311344","2.1211095434311344","2.1847891225846543","2.1847891225846543","2.1847891225846543","2.314786931326348","2.314786931326348","2.314786931326348"
"329999","2.1396575689071766","2.1396575689071766","2.1396575689071766","2.1594410161645046","2.1594410161645046","2.1594410161645046","2.129603688036041","2.129603688036041","2.129603688036041","2.198397943069405","2.198397943069405","2.198397943069405","2.1491924977900427","2.1491924977900427","2.1491924977900427","2.121507097443636","2.121507097443636","2.121507097443636","2.1851957314090082","2.1851957314090082","2.1851957314090082","2.3195656749096716","2.3195656749096716","2.3195656749096716"
"339999","2.1373607830174017","2.1373607830174017","2.1373607830174017","2.158045772520278","2.158045772520278","2.158045772520278","2.1265366580127574","2.1265366580127574","2.1265366580127574","2.192779606202486","2.192779606202486","2.192779606202486","2.1464556517535125","2.1464556517535125","2.1464556517535125","2.1204309613580223","2.1204309613580223","2.1204309613580223","2.184309073852541","2.184309073852541","2.184309073852541","2.3174017625369947","2.3174017625369947","2.3174017625369947"
"349999","2.136975461104265","2.136975461104265","2.136975461104265","2.1567100007678004","2.1567100007678004","2.1567100007678004","2.127921664330464","2.127921664330464","2.127921664330464","2.1924391874820452","2.1924391874820452","2.1924391874820452","2.1461530186868862","2.1461530186868862","2.1461530186868862","2.1208457343409957","2.1208457343409957","2.1208457343409957","2.182658179267524","2.182658179267524","2.182658179267524","2.3108682989037024","2.3108682989037024","2.3108682989037024"
"359999","2.1378760858226333","2.1378760858226333","2.1378760858226333","2.157531212973375","2.157531212973375","2.157531212973375","2.1278870904030796","2.1278870904030796","2.1278870904030796","2.1918788346382834","2.1918788346382834","2.1918788346382834","2.1502967704403972","2.1502967704403972","2.1502967704403972","2.1222313880432346","2.1222313880432346","2.1222313880432346","2.184235778685846","2.184235778685846","2.184235778685846","2.3150293286527557","2.3150293286527557","2.3150293286527557"
"369999","2.13806481929372","2.13806481929372","2.13806481929372","2.1575430394927215","2.1575430394927215","2.1575430394927215","2.1269811858235266","2.1269811858235266","2.1269811858235266","2.1927390715665926","2.1927390715665926","2.1927390715665926","2.1493894319329314","2.1493894319329314","2.1493894319329314","2.121852272364598","2.121852272364598","2.121852272364598","2.18495187990009","2.18495187990009","2.18495187990009","2.3133170237438705","2.3133170237438705","2.3133170237438705"
"379999","2.1375190374673085","2.1375190374673085","2.1375190374673085","2.15181669730125","2.15181669730125","2.15181669730125","2.1242540416783418","2.1242540416783418","2.1242540416783418","2.1878215865505632","2.1878215865505632","2.1878215865505632","2.143063169205323","2.143063169205323","2.143063169205323","2.118757234228548","2.118757234228548","2.118757234228548","2.181696753296906","2.181696753296906","2.181696753296906","2.306787165581509","2.306787165581509","2.306787165581509"
"389999","2.1360799544543303","2.1360799544543303","2.1360799544543303","2.154812181008143","2.154812181008143","2.154812181008143","2.127424584989538","2.127424584989538","2.127424584989538","2.188694504900867","2.188694504900867","2.188694504900867","2.1456989384844456","2.1456989384844456","2.1456989384844456","2.120730476741781","2.120730476741781","2.120730476741781","2.183792018658551","2.183792018658551","2.183792018658551","2.30828629334971","2.30828629334971","2.30828629334971"
