"Step","layer_12_rank_16_sae_full_finetune - mse_loss","layer_12_rank_16_sae_full_finetune - mse_loss__MIN","layer_12_rank_16_sae_full_finetune - mse_loss__MAX","layer_12_rank_16_sae_full_finetune_kl_only - mse_loss","layer_12_rank_16_sae_full_finetune_kl_only - mse_loss__MIN","layer_12_rank_16_sae_full_finetune_kl_only - mse_loss__MAX"
"13700","1.72265625","1.5859375","1.859375","1.796875","1.796875","1.796875"
"13800","1.68359375","1.5546875","1.8125","1.765625","1.765625","1.765625"
"13900","1.78515625","1.640625","1.9296875","1.890625","1.890625","1.890625"
"14000","1.74609375","1.640625","1.8515625","1.828125","1.828125","1.828125"
"14100","1.6171875","1.6171875","1.6171875","1.6171875","1.6171875","1.6171875"
"14200","1.8203125","1.7109375","1.9296875","1.9140625","1.9140625","1.9140625"
"14300","1.68359375","1.625","1.7421875","1.734375","1.734375","1.734375"
"14400","1.62890625","1.5625","1.6953125","1.71875","1.71875","1.71875"
"14500","1.66015625","1.5546875","1.765625","1.734375","1.734375","1.734375"
"14600","1.85546875","1.7734375","1.9375","1.859375","1.859375","1.859375"
"14700","1.66796875","1.578125","1.7578125","1.7265625","1.7265625","1.7265625"
"14800","1.6015625","1.5703125","1.6328125","1.6015625","1.6015625","1.6015625"
"14900","1.79296875","1.640625","1.9453125","1.921875","1.921875","1.921875"
